__empty___2,Artikel,Lagerplatz Regal,Bestand Regal,Produktionsversorgungsbereiche,KLT Größe,Losgröße,"Bestand PVB
Differenz Lager (Inventur)"
22,Kabelbinder,101B-3-D,1000.0,Assembly 2,KLT-3147,1000.0,
14,Steckverbindungen,101C-3-D,0.0,Assembly 2,KLT-3147,1000.0,120.0
L_23,Rotorren Links,101C-4-D,99.0,Assembly 1,EG-21512,66.0,
R_23,Rotoren Rechts,101C-4-D,99.0,Assembly1,EG-21512,66.0,
Nicht in SAP,Fernbedienung,101B-0-A,3.0,,Kein KLT,,
21,RFID-tag,101B-4-D,12.0,Supermarkt,KLT-3147,44.0,
15,Akku,101B-4-B,16.0,Supermarkt,KLT-3147,44.0,
25,Akkukabel,101B-3-C,58.0,Supermarkt,KLT-3147,44.0,
17,Steuergerät,101B-3-B,10.0,Supermarkt,KLT-3147,44.0,2.0
66,Motor,101C-5-D,57.0,Supermarkt,KLT-4280,89.0,
18,Motoreinheit,101B-4-A,0.0,,KLT-3147,89.0,
61,Verlängerungskalbel,101B-3-C,49.0,,KLT-3147,89.0,
62,Schrumpfschlauche,101D-5-D,1.0,,KLT-3147,89.0,
24,Resiver Kabel,101B-3-A,8.0,Supermarkt,KLT-3147,44.0,
16,Reciver,101B-4-C,10.0,Supermarkt,KLT-3147,44.0,1.0
54,Verpackung-Karton,101D-1,35.0,Assembly 2,Kein KLT,22.0,
74,Verpackung-Füllmaterial,101D-0,,Assembly 2,Kein KLT,1.0,
63,Motorschrauben,101D-5-A,0.0,Assembly 1,KLT-3147,1000.0,133.0
64,Motormuttern,101D-5-B,0.0,Assembly 1,KLT-3147,1000.0,32.0
V_WHITE_13,Haube EVO2 weiss,101B-1-D,0.0,Supermarkt,KLT-4147,15.0,
V_YELLOW_13,HAUBE EVO2 gelb,101B-1-C,0.0,Supermarkt,KLT-4147,15.0,
V_RED_13,HAUBE EVO2 rot,101B-1-A,0.0,Supermarkt,KLT-4147,15.0,
V_GREEN_13,HAUBE EVO2 grün,101B-2-D,0.0,Supermarkt,KLT-4147,15.0,
V_BLUE_13,HAUBE EVO2 blau,101B-2-C,7.0,Supermarkt,KLT-4147,15.0,4.0
V_BROWN_13,HAUBE EVO2 braun,101B-2-B,0.0,Supermarkt,KLT-4147,15.0,
