Lieferant für,SAP Lieferantennummer,SAP Name,Adresse / Anschrift,Telefonnummer (+ davor),Email,Link,Bemerkung
Kabelbinder,1000022,Amazon,Amazon EU S.à r.l. Niederlassung Deutschland Marcel-Breuer-Str. 12 80807 München Deutschland,0800 3638469,impressum@amazon.de,https://www.amazon.de/ERKO-Kabelbinder-OPK_2-5-150-N-100/dp/B08SNNLGJR/ref=sr_1_7?crid=31CS781CZ8KH7&keywords=kabelbinder%2B16cm%2Bwei%C3%9F&qid=1707148141&sprefix=kabelbinder%2B16%2Bcm%2Bwei%2Caps%2C170&sr=8-7&th=1,
Steckverbindungen,1000023,Mouser Electronics Inc.,"Mouser Electronics Inc. Elsenheimerstraße 11, 80687 München, Deutschland",49 (0)89 520 462 110,muenchen@mouser.com,https://www.mouser.de/ProductDetail/Essentra/SRVO-4120B?qs=PzGy0jfpSMsiK2W7EECD%252Bg%3D%3D,
Rotorren Links,1000024,meilon GmbH,meilon GmbH Konrad Zuse Ring 31 53424 Remagen Deutschland,49 (0)2642 / 40 52 88 0,support@meilon.de,https://www.fpv24.com/de/hqprop/hq-durable-prop-5043-3-blatt-v1s-schwarz-2cw2ccw-polycarbonat-propeller#product-description,
Rotoren Rechts,1000024,meilon GmbH,meilon GmbH Konrad Zuse Ring 31 53424 Remagen Deutschland,49 (0)2642 / 40 52 88 0,support@meilon.de,https://www.fpv24.com/de/hqprop/hq-durable-prop-5043-3-blatt-v1s-schwarz-2cw2ccw-polycarbonat-propeller#product-description,
RFID-tag,1000030,UWC,"Robert Sobukwe Rd, Bellville, Cape Town, 7535, South Africa",27 21 959 2911,info@uwc.ac.za,,
Akku,1000022,Amazon,Amazon EU S.à r.l. Niederlassung Deutschland Marcel-Breuer-Str. 12 80807 München Deutschland,0800 3638469,impressum@amazon.de,https://www.amazon.de/Zeee-2200mAh-Batterien-Flugzeug-Heilikopter/dp/B07T1WRGWH/ref=sr_1_2?keywords=Zeee+2S+Lipo+Akku+50C+2200mAh+11%2C1V&qid=1707139139&sr=8-2,
Akkukabel,1000022,Amazon,Amazon EU S.à r.l. Niederlassung Deutschland Marcel-Breuer-Str. 12 80807 München Deutschland,0800 3638469,impressum@amazon.de,https://www.amazon.de/RUIZHI-T-Stecker-Silikondraht-Connector-Batteriekabel/dp/B098WRZMPQ/ref=pb_allspark_dp_sims_pao_desktop_session_based_d_sccl_3_2/258-2580500-1704669?pd_rd_w=KnQHh&content-id=amzn1.sym.cdb3cd5b-5b29-4346-8344-90969a97eb77&pf_rd_p=cdb3cd5b-5b29-4346-8344-90969a97eb77&pf_rd_r=CFJ0MW4EPN75ESS6G8HH&pd_rd_wg=a06BX&pd_rd_r=ede4976a-5f80-46d0-97db-4f4a11fb8335&pd_rd_i=B098WRZMPQ&psc=1,
Steuergerät,1000031,n-Factory,Haldesdorfer Str. 117 22179 Hamburg Deutschland,040 466358-72,support@n-Factory.de,https://n-factory.de/Diatone-MAMBA-F405-MK2-V2-F4-40A-BLS-Betaflight-Stack,
Motor,1000025,RCTech,,04551 / 8061830,mail@rctech.de,https://www.rctech.de/iflight-xing-e-2207-1700-1800-2450-2750-kv-motor.html?gclid=CjwKCAiAq4KuBhA6EiwArMAw1K7YlKdlEOf_XXaCDE3NxHzhGrc8VlbJH3T-JaRftdxt9Y2u0ZLUTRoCpdMQAvD_BwE#208=2349,
Verlängerungskalbel,1000025,RCTech,RCTech.de An der Trave 17 23795 Bad Segeberg Germany,,,,
Schrumpfschlauche,1000022,Amazon,"CET Product Service LTD Osterholzallee 144, 781636 Ludwigsburg, Deutschland",4971416432251,info.cetservice@gmail.com,https://www.amazon.de/Schrumpfschlauch-Schrumpfschl%C3%A4uche-Eventronic-Sortiment-Verh%C3%A4ltnis/dp/B0B4JTSYTC?source=ps-sl-shoppingads-lpcontext&ref_=fplfs&psc=1&smid=A1Z8AGJ78TG0D,
Resiver Kabel,1000026,Wecando,Wecando Group Großhandels GmbH Nordstraße 17 97299 Zell am Main Deutschland,93161947994,info@monster-hopups-shop.de,https://www.monsterhopups.de/RUDDOG-RP-0073-ESC-RX-Kabel-Schwarz-60mm-passend-fuer-RXS-und-andere,
Reciver,1000026,Wecando,Wecando Group Großhandels GmbH Nordstraße 17 97299 Zell am Main Deutschland,93161947994,info@monster-hopups-shop.de,https://www.monsterhopups.de/Flysky-FS050-FS-IA10B-AFHDS2A-Empfaenger-10-Kanal-mit-ibus?gad_source=1&gclid=Cj0KCQiAwvKtBhDrARIsAJj-kTid9FoIIxyS6ecivHGckPhosWjCCVWZ7oIXS7OHcHcNrMsrt_npmHEaAqzYEALw_wcB,
