lfd. Nummer,Artikelart,Bennenung,Artikelbezeichnung,Menge EVO Spartan,Menge EVO Lightweight,Menge EVO Balance,Artikelnummer NextLap (Provisorium),Artikel-/SAP-Nummer,Einzelpreiß,Gesamtpreiß
1,Kaufartikel,Kabelbinder,Kabelbinder 3.5mmx150mm,4.0,4.0,4,1,22,0.02,0.08
2,Kaufartikel,Steckverbindungen,SRVO-4120B,7.0,7.0,7,2,14,0.3,2.1
3,Kaufartikel,Rotorren Links,HQ Durable Prop 5X4.3X3V1S Links,2.0,2.0,2,3,L_23,0.86,1.72
4,Kaufartikel,Rotoren Rechts,HQ Durable Prop 5X4.3X3V1S Rechts,2.0,2.0,2,4,R_23,0.86,1.72
5,Kaufartikel,RFID-tag,BALLUF BIS M1B2-03_L,1.0,1.0,1,5,21,4.5,4.5
6,Kaufartikel,Akku,2200mAh 50C 11. 1V 24.52Wh Zeee,1.0,1.0,1,6,15,18.07,18.07
7,Kaufartikel,Akkukabel,Anstecker an Akku (zweipolig),1.0,1.0,1,7,25,0.95,0.95
8,Kaufartikel,Steuergerät,Mamba F405 MK2 kpl.,1.0,1.0,1,8,17,84.9,84.9
9,Kaufartikel,Motor,XING-E Pro2207 2750kv,4.0,4.0,4,9,66,16.9,67.6
10,Kaufartikel,Verlängerungskalbel,Kabelverlängerung Motor (5cm),30.0,30.0,30,10,61,0.5,15.0
11,Kaufartikel,Schrumpfschlauche,Schrumpfschlauch,12.0,12.0,12,11,62,0.012,0.144
12,Kaufartikel,Resiver Kabel,RUDOG ESC RX Cable Black 60mm),1.0,1.0,1,12,24,3.99,3.99
13,Kaufartikel,Reciver,FS-IA10B Resiver,1.0,1.0,1,13,16,17.42,17.42
14,Kaufartikel,Verpackung-Karton,KARTONAGE 130MM,1.0,1.0,1,14,54,2.39,2.39
15,Kaufartikel,Verpackung-Füllmaterial,Papierreste,10.0,10.0,10,15,74,0.2,2.0
16,Lageratikel,Motorschrauben,Motorschrauben für iFlight.Xing.2207 2,8.0,8.0,8,16,63,,
17,Lageratikel,Motormuttern,Motormuttern für iFlight.Xing.2207 2,4.0,4.0,4,17,64,,
18,Eigenfertigung,Haube EVO2 weiss,Haube EVO2 weiss,1.0,1.0,1,18,V_WHITE_13,4.691605385,4.691605385
19,Eigenfertigung,HAUBE EVO2 gelb,HAUBE EVO2 gelb,1.0,1.0,1,19,V_YELLOW_13,4.691605385,4.691605385
