Stufe_1,Stufe_2,Stufe_3,Stufe_4,lfd. Nummer,ID Nummer,Artikelart,Bennenung,Artikelbezeichnung,Menge EVO Spartan,Menge EVO Lightweight,Menge EVO Balance,Artikel-/SAP-Nummer,__empty__,Einzelpreiß,Gesamtpreiß,Packungspreiß,Packungsmenge,Kommentar
X,,,,1,1.0,Kaufartikel,Kabelbinder,Kabelbinder 3.5mmx150mm,4.0,4.0,4.0,22,Kabelbinder 3.5mmx150mm,0.02,0.08,,,passt
X,,,,2,2.0,Kaufartikel,Steckverbindungen,SRVO-4120B,7.0,7.0,7.0,14,Schnappniete SRVO-4120B,0.3,2.1,,,passt
,X,,,3,3.1.1,Lagerartikel,Rotorren Links,HQ Durable Prop 5X4.3X3V1S Links,2.0,2.0,2.0,L_23,Propeller 5Zoll 3Fluegel Links,0.86,1.72,,,passt
,X,,,4,3.1.2,Lagerartikel,Rotoren Rechts,HQ Durable Prop 5X4.3X3V1S Rechts,2.0,2.0,2.0,R_23,Propeller 5Zoll 3Fluegel Rechts,0.86,1.72,,,passt
X,,,,5,4.0,Kaufartikel,RFID-tag,BALLUF BIS M1B2-03_L,1.0,1.0,1.0,21,BALLUFF BIS M-1B2-03_L,4.5,4.5,,,passt
X,,,,6,5.0,Kaufartikel,Akku,2200mAh 50C 11. 1V 24.52Wh Zeee,1.0,1.0,1.0,15,Akku 2200mAh 50C,18.07,18.07,,,passt
X,,,,7,6.0,,Elektronikeinheit,Elektronikeinheit,1.0,1.0,1.0,,,,,,,
,X,,,8,6.1,Kaufartikel,Lötzinn,Lötzinn 1.0mm 50g,6.0,6.0,6.0,67,Lötzinn 1.0mm,0.07,0.42,,,passt
,X,,,9,6.2,Kaufartikel,Akkukabel,Anstecker an Akku (zweipolig),1.0,1.0,1.0,25,Anstecker an Akku (zweipolig),0.95,0.95,,,passt
,X,,,10,6.3,Kaufartikel,Steuergerät,Mamba F405 MK2 kpl.,1.0,1.0,1.0,17,Steuergerät Mamba F405 MK2 kpl.,84.9,84.9,,,
,X,,,11,6.4,,Motoreinheit,Motoreinheit iFlight.Xing.2207 2 kpl.,4.0,4.0,4.0,18,Motoreinheit iFlight.Xing.2207 2 kpl.,,,,,
,,X,,12,6.4.1,Kaufartikel,Motor,XING-E Pro2207 2750kv,4.0,4.0,4.0,66,iFlight.Xing.2207 2,16.9,67.6,,,passt
,,,X,13,6.4.1.1,Lagerartikel,Motorschrauben,Motorschrauben für iFlight.Xing.2207 2,8.0,8.0,8.0,63,Motorschrauben für iFlight.Xing.2207 2,,,,,
,,,X,14,6.4.1.2,Lagerartikel,Motormuttern,Motormuttern für iFlight.Xing.2207 2,4.0,4.0,4.0,64,Motormuttern für iFlight.Xing.2207 2,,,,,
,,X,,15,6.4.2,Kaufartikel,Verlängerungskalbel,Kabelverlängerung Motor (5cm),30.0,30.0,30.0,61,Kabelverlängerung Motor,0.5,15.0,,,passt
,,X,,16,6.4.3,Kaufartikel,Schrumpfschlauche,Schrumpfschlauch,12.0,12.0,12.0,62,Schrumpfschlauch,0.012,0.144,,,passt
,,X,,17,6.4.4,Kaufartikel,Lötzinn,Lötzinn 1.0mm 50g,8.5,8.5,8.5,67,Lötzinn 1.0mm,0.07,0.595,,,passt
,X,,,18,6.5,Kaufartikel,Resiver Kabel,RUDOG ESC RX Cable Black 60mm),1.0,1.0,1.0,24,RUDDOG ESC RX Cable Black 60mm,3.99,3.99,,,passt
,X,,,19,6.6,Kaufartikel,Reciver,FS-IA10B Resiver,1.0,1.0,1.0,16,FlySky FS-iA6B kpl.,17.42,17.42,,,
,X,,,20,7.1,Eigenfertigung,Haube EVO2 weiss,Haube EVO2 weiss,1.0,1.0,1.0,V_WHITE_13,Haube EVO2 weiss,4.691605385,4.691605385,,,Arbeitsplan angelegt
,,X,,21,7.1.1,Kaufartikel,PLA Filament - Weiß,PLA Filament 3mm - Weiß,101.36,101.36,101.36,V_WHITE_9,PLA Filament weiss,0.03,3.0408,29.99,1000g,passt
,X,,,22,7.2,Eigenfertigung,HAUBE EVO2 gelb,HAUBE EVO2 gelb,1.0,1.0,1.0,V_YELLOW_13,HAUBE EVO2 gelb,4.691605385,4.691605385,,,Arbeitsplan angelegt
,,X,,23,7.2.1,Kaufartikel,PLA Filament - Gelb,PLA Filament 3mm - Gelb,101.36,101.36,101.36,V_YELLOW_9,PLA Filament gelb,0.03,3.0408,29.99,1000g,passt
,X,,,24,7.3,Eigenfertigung,HAUBE EVO2 rot,HAUBE EVO2 rot,1.0,1.0,1.0,V_RED_13,HAUBE EVO2 rot,4.691605385,4.691605385,,,Arbeitsplan angelegt
,,X,,25,7.3.1,Kaufartikel,PLA Filament - Rot,PLA Filament 3mm  - Rot,101.36,101.36,101.36,V_RED_9,PLA Filament rot,0.03,3.0408,29.99,1000g,passt
,X,,,26,7.4,Eigenfertigung,HAUBE EVO2 grün,HAUBE EVO2 grün,1.0,1.0,1.0,V_GREEN_13,HAUBE EVO2 grün,4.691605385,4.691605385,,,Arbeitsplan angelegt
,,X,,27,7.4.1,Kaufartikel,PLA Filament - Grün,PLA Filament 3mm  - Grün,101.36,101.36,101.36,V_GREEN_9,PLA Filament grün,0.03,3.0408,29.99,1000g,passt
,X,,,28,7.5,Eigenfertigung,HAUBE EVO2 blau,HAUBE EVO2 blau,1.0,1.0,1.0,V_BLUE_13,HAUBE EVO2 blau,4.691605385,4.691605385,,,Arbeitsplan angelegt
,,X,,29,7.5.1,Kaufartikel,PLA Filament - Blau,PLA Filament 3mm - Blau,101.36,101.36,101.36,V_BLUE_9,PLA Filament blau,0.03,3.0408,29.99,1000g,passt
,X,,,30,7.6,Eigenfertigung,HAUBE EVO2 braun,HAUBE EVO2 braun,1.0,1.0,1.0,V_BROWN_13,HAUBE EVO2 braun,4.691605385,4.691605385,,,Arbeitsplan angelegt
,,X,,31,7.6.1,Kaufartikel,PLA Filament - Braun,PLA Filament 3mm - Braun,101.36,101.36,101.36,V_BROWN_9,PLA Filament braun,0.03,3.0408,29.99,1000g,passt
,X,,,32,7.7,Eigenfertigung,HAUBE EVO2 orange,HAUBE EVO2 orange,1.0,1.0,1.0,V_ORANGE_13,HAUBE EVO2 orange,4.691605385,4.691605385,,,Arbeitsplan angelegt
,,X,,33,7.7.1,Kaufartikel,PLA Filament - Orange,PLA Filament 3mm - Orange,101.36,101.36,101.36,V_ORANGE_9,PLA Filament orange,0.03,3.0408,29.99,1000g,passt
,X,,,34,7.8,Eigenfertigung,HAUBE EVO2 schwarz,HAUBE EVO2 schwarz,1.0,1.0,1.0,V_BLACK_13,HAUBE EVO2 schwarz,4.691605385,4.691605385,,,Arbeitsplan angelegt
,,X,,35,7.8.1,Kaufartikel,PLA Filament - Schwarz,PLA Filament 3mm - Schwarz,101.36,101.36,101.36,V_BLACK_9,PLA Filament schwarz,0.03,3.0408,29.99,1000g,passt
,X,,,36,8.1,Eigenfertigung,Grundplatte EVO 2 Spartan weiss,Grundplatte EVO 2 Spartan weiss,1.0,,,V_WHITE_75,Grundplatte EVO 2 Spartan weiss,6.478893751,6.478893751,,,Arbeitsplan angelegt
,,X,,37,8.1.1,Kaufartikel,Acryl Glasplatte - weiß,Acryl Glasplatte - Weiß 1000mm*330mm*5mm (3300 cm^2),1063.0,,,V_WHITE_7,Acryl Glasplatte - weiss,11.56,3.723721212,6.2,Eine Platte,
,X,,,38,8.2,Eigenfertigung,Grundplatte EVO 2 Spartan blau,Grundplatte EVO 2 Spartan blau,1.0,,,V_BLUE_75,Grundplatte EVO 2 Spartan blau,6.478893751,6.478893751,,,Arbeitsplan angelegt
,,X,,39,8.2.1,Kaufartikel,Acryl Glasplatte - blau,Acryl Glasplatte - Weiß 1000mm*330mm*5mm (3300 cm^2),1063.0,,,V_BLUE_7,Acryl Glasplatte - blau,11.56,3.723721212,6.2,Eine Platte,
,X,,,40,8.3,Eigenfertigung,Grundplatte EVO 2 Spartan schwarz,Grundplatte EVO 2 Spartan schwarz,1.0,,,V_BLACK_75,Grundplatte EVO 2 Spartan schwarz,6.478893751,6.478893751,,,Arbeitsplan angelegt
,,X,,41,8.3.1,Kaufartikel,Acryl Glasplatte - schwarz,Acryl Glasplatte - Weiß 1000mm*330mm*5mm (3300 cm^2),1063.0,,,V_BLACK_7,Acryl Glasplatte - schwarz,11.56,3.723721212,6.2,Eine Platte,passt
,X,,,42,9.1,Eigenfertigung,Fuß EVO2 Spartan weiss,Fuß 35mm Spartan weiss,4.0,,,V_WHITE_31,Fuß 35mm Spartan weiss,0.2125282462,1.619372385,,,Arbeitsplan angelegt
,,X,,43,9.1.1,Kaufartikel,PLA Filament - Weiß,PLA Filament 3mm - Weiß,22.37,,,V_WHITE_9,PLA Filament weiss,0.03,0.6711,29.99,1000g,passt
,X,,,44,9.2,Eigenfertigung,Fuß EVO2 Spartan gelb,Fuß 35mm Spartan gelb,4.0,,,V_YELLOW_31,Fuß 35mm Spartan gelb,0.2125282462,1.619372385,,,Arbeitsplan angelegt
,,X,,45,9.2.1,Kaufartikel,PLA Filament - Gelb,PLA Filament 3mm - Gelb,22.37,,,V_YELLOW_9,PLA Filament gelb,0.03,0.6711,29.99,1000g,passt
,X,,,46,9.3,Eigenfertigung,Fuß EVO2 Spartan rot,Fuß 35mm Spartan rot,4.0,,,V_RED_31,Fuß 35mm Spartan rot,0.2125282462,1.619372385,,,Arbeitsplan angelegt
,,X,,47,9.3.1,Kaufartikel,PLA Filament - Rot,PLA Filament 3mm  - Rot,22.37,,,V_RED_9,PLA Filament rot,0.03,0.6711,29.99,1000g,passt
